surface,config,seed,reconstruction,tangent,curvature,sigma_min_min,sigma_min_p5,sigma_min_median
paraboloid,T+F+K,7042,0.0072222995,0.0030100013,0.048072524,0.9990414381027222,1.051615595817566,1.2936376333236694
paraboloid,baseline,8042,0.1824237,0.3073269,1.685054,1.1206188201904297,1.157056450843811,1.2014484405517578
paraboloid,T,8042,0.06291054,0.017415062,0.20600387,0.7963865399360657,0.826805591583252,1.0456558465957642
paraboloid,K,8042,0.208247,0.31959742,2.9638803,0.998323917388916,1.0480422973632812,1.2499586343765259
paraboloid,F,8042,0.24577966,0.60474426,2.574604,1.807599663734436,1.8422017097473145,1.875680923461914
paraboloid,C,8042,0.34911817,0.64332944,2.8010275,4.970578193664551,4.977719783782959,5.055144309997559
paraboloid,T+K,8042,0.055742264,0.017370082,0.2527611,0.7594149708747864,0.811508297920227,1.0232932567596436
paraboloid,T+F,8042,0.014227598,0.010454538,0.23749854,1.0576744079589844,1.1358705759048462,1.2783432006835938
paraboloid,F+K,8042,0.35090834,0.673836,2.8871973,1.6995800733566284,1.7365292310714722,1.7670165300369263
paraboloid,T+F+K,8042,0.020072578,0.007837042,0.09719623,1.072382926940918,1.1437822580337524,1.3168463706970215
paraboloid,baseline,9042,0.10802277,0.28371277,2.3365412,0.8775377869606018,1.0840586423873901,1.4189231395721436
paraboloid,T,9042,0.040273342,0.011606344,0.20426562,0.7406570315361023,0.830930769443512,1.1313755512237549
paraboloid,K,9042,0.12154375,0.24989776,1.5041287,0.9962206482887268,1.0274087190628052,1.2472529411315918
paraboloid,F,9042,0.21848364,0.62832737,2.802421,1.8602774143218994,1.8923643827438354,1.9492638111114502
paraboloid,C,9042,0.23264977,0.6355505,2.8280473,5.023249626159668,5.030191898345947,5.0950775146484375
paraboloid,T+K,9042,0.043652106,0.009881851,0.15199478,0.8185689449310303,0.8903578519821167,1.1064146757125854
paraboloid,T+F,9042,0.04857939,0.013277224,0.17424779,1.0172241926193237,1.0359002351760864,1.3431041240692139
paraboloid,F+K,9042,0.34464678,0.6848736,2.7707777,1.7695186138153076,1.781023383140564,1.8285866975784302
paraboloid,T+F+K,9042,0.026931934,0.0118579,0.11257369,1.1090285778045654,1.1429412364959717,1.4190433025360107
