surface,config,seed,ae_loss,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,sW2@0.5,sW2@1.0,MMD@1.0,survival@1.0,stopped@1.0,E_mu_held,drift_loss_final,diff_loss_final
paraboloid,T+F+K+S,8042,0.024546315893530846,1.0350132751464844,1.992576761448637,2.50914414123919,1.113373371359054,1.0099195766103108,1.5031092192177677,0.21004892885684967,0.7949999570846558,0.29999998211860657,0.14348848164081573,0.16186219453811646,0.014466850087046623
paraboloid,baseline,9042,0.0031713617499917746,1.340205841064453,2.372409007588371,3.1007806878340873,1.9070417946551699,1.425667952224587,2.437700443038542,0.3031465709209442,0.7599999904632568,0.3199999928474426,0.3653990924358368,0.03927367925643921,0.3399106562137604
paraboloid,T+F,9042,0.03172063082456589,1.1068124389648437,2.1099963579021517,2.7722240247224508,1.7348715134047497,1.5249309285955204,2.3471683649156416,0.29360222816467285,0.7599999904632568,0.3199999928474426,0.07589616626501083,0.022318977862596512,0.04914671182632446
paraboloid,T+F+K,9042,0.04608573764562607,1.0544292449951171,1.984313798081028,2.5668501602975944,1.6339643970145559,1.3657168039825542,2.0598312008670723,0.23688586056232452,0.7599999904632568,0.3199999928474426,0.09315687417984009,0.027235262095928192,0.07639342546463013
paraboloid,T+F+K+S,9042,0.04608573764562607,1.0646973419189454,1.9760198541026297,2.4704790617290295,1.4396256274894097,1.3218743774919763,1.8943178738486395,0.2089330404996872,0.7599999904632568,0.3199999928474426,0.19034844636917114,0.25537773966789246,0.07639342546463013
hyperbolic_paraboloid,baseline,42,0.0025345522444695234,1.1084656524658203,2.2441334931746773,2.719454497293709,1.483224395603267,1.077833852826602,1.6724309284794192,0.1717049926519394,0.7649999856948853,0.23999999463558197,0.07331898808479309,0.012927168980240822,0.5958168506622314
hyperbolic_paraboloid,T+F,42,0.27778154611587524,0.9898771667480468,2.5830449643342392,3.9598947163500817,2.7638970277113395,1.7665971869623092,2.930399605355569,0.32595524191856384,0.7649999856948853,0.23999999463558197,1.1045951843261719,0.7058830261230469,0.36431851983070374
hyperbolic_paraboloid,T+F+K,42,0.015632355585694313,1.376957550048828,2.639554231063179,3.105709300321691,1.101101815930838,1.0452162252269284,1.6631294353252566,0.1353125125169754,0.7649999856948853,0.23999999463558197,0.02742200344800949,0.0163562148809433,0.031811539083719254
hyperbolic_paraboloid,T+F+K+S,42,0.015632355585694313,1.3793936157226563,2.6980698626974355,2.993554607715482,1.1469028162624397,1.1144605824597287,1.2086291591199518,0.1680741161108017,0.7649999856948853,0.23999999463558197,0.08346166461706161,0.23760735988616943,0.031811539083719254
hyperbolic_paraboloid,baseline,1042,0.0010217189555987716,1.050357147676861,1.8605848911830356,2.5877683427598743,1.4980763802433468,1.0911228416458998,1.7406453169531206,0.22180037200450897,0.7199999690055847,0.26499998569488525,0.17120149731636047,0.015395505353808403,0.4066089987754822
hyperbolic_paraboloid,T+F,1042,0.001735290396027267,0.9942123949827262,1.8430620465959822,2.4270858764648438,1.1211174515376068,0.8244816543165444,1.4316161007120842,0.16957038640975952,0.7199999690055847,0.26499998569488525,0.023005500435829163,0.008135414682328701,0.013573595322668552
hyperbolic_paraboloid,T+F+K,1042,0.007004486862570047,1.0122811015526854,1.8637979561941964,2.454015943739149,1.1451053667193045,0.8404019994272721,1.5077607255691727,0.17687951028347015,0.7199999690055847,0.26499998569488525,0.012130588293075562,0.00485475966706872,0.014229297637939453
