N,D,K_pairs,surface,condition,seed,ae_loss,drift_loss,diff_loss,recon_per_dim,phase1_converged,E_mu,E_Sigma,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,MMD@1.0,survival@1.0
100,201,99,paraboloid,baseline,42,0.016742761712521315,0.00019104738385067321,3.62036635124241e-05,0.005109236608097209,True,0.1458781361579895,0.6234108805656433,1.0725756072998047,2.3168023150900137,3.146157258476307,2.044502463281451,0.21190477907657623,0.7649999856948853
100,201,99,paraboloid,K(Phat),42,0.0022239835234358907,8.094293661997654e-05,8.663330049785145e-06,0.005109236608097209,True,0.036491863429546356,0.05310356616973877,0.9799504089355469,2.2244494894276494,2.98886128344567,1.6760392655938243,0.1678803712129593,0.7649999856948853
100,201,99,paraboloid,baseline,1042,0.014966514892876148,0.000529457196535077,4.973425529897213e-05,0.003675313434790616,True,0.21219739317893982,0.38595080375671387,1.2402977871535412,2.0510824148995535,2.850274191962348,2.0790634903777243,0.2903268337249756,0.7199999690055847
100,201,99,paraboloid,K(Phat),1042,0.013445296324789524,0.00020325083096395247,2.1055437173345126e-05,0.003675313434790616,True,0.058354947715997696,0.1881677508354187,1.1044766986789416,1.8834835379464285,2.605817582872179,1.653565743877317,0.23828525841236115,0.7199999690055847
100,201,99,paraboloid,baseline,2042,0.038395730778574944,0.00021379391546361148,0.00011079315663664602,0.0020869888773011923,True,0.16495223343372345,0.7769600749015808,1.2682096395061244,2.419400393307864,2.9874049873109074,1.6243195584175933,0.21462807059288025,0.7849999666213989
100,201,99,paraboloid,K(Phat),2042,0.003259661258198321,0.00019297214203106705,7.412786908389535e-05,0.0020869888773011923,True,0.0474214106798172,0.09067009389400482,0.9614188036127905,2.261820531153417,2.8328460887738856,1.354006172251582,0.13656869530677795,0.7849999666213989
100,201,99,paraboloid,baseline,3042,0.033271456602960825,0.00028764303533534985,3.5429168292466784e-05,0.008225902396055003,True,0.13461239635944366,0.2512086033821106,1.9369900512695313,2.805917159370754,3.35962999587091,2.087384608044983,0.3662818968296051,0.7450000047683716
100,201,99,paraboloid,K(Phat),3042,0.019695566268637776,0.00023486011195927858,1.9281516870250925e-05,0.008225902396055003,True,0.06824955344200134,0.22682785987854004,1.383425750732422,2.3983917236328125,3.027149584469379,1.6977645875342688,0.21758723258972168,0.7450000047683716
100,201,99,paraboloid,baseline,4042,0.02690291590988636,0.00013947926709079184,0.00010719344936660491,0.005245139349752397,True,0.11125477403402328,0.5347117185592651,1.2280109405517579,1.9267212584778504,2.1225248637952303,1.7492432931960071,0.2943722605705261,0.7599999904632568
100,201,99,paraboloid,K(Phat),4042,0.02777274278923869,0.00015774592247908004,9.456423322262708e-05,0.005245139349752397,True,0.10640459507703781,0.47950851917266846,0.9306846618652344,1.7127185863452954,1.82787403307463,1.2797332734831972,0.17868459224700928,0.7599999904632568
100,201,99,paraboloid,baseline,5042,0.014477885328233242,0.00014182805807649856,2.3284259214051417e-05,0.0005992555351399663,True,0.101267509162426,0.23456624150276184,1.1550836181640625,2.1957810924899195,2.772402495340584,1.575470710417015,0.1656554788351059,0.7649999856948853
100,201,99,paraboloid,K(Phat),5042,0.003399833105504513,0.00014052767801331356,9.491624837210111e-06,0.0005992555351399663,True,0.04842735454440117,0.05887867882847786,1.098599395751953,2.1709177981140795,2.7874520495046977,1.5335021501656587,0.14716193079948425,0.7649999856948853
100,201,99,paraboloid,baseline,6042,0.002462636854033917,0.0003198540689481888,5.527308621822158e-05,0.001429785839953826,True,0.10137484967708588,0.07169430702924728,0.8577171325683594,1.7134388950892858,2.018445994755993,1.27704368966509,0.11029699444770813,0.7299999594688416
100,201,99,paraboloid,K(Phat),6042,0.025803218130022287,0.00014281873882282525,5.904898807784775e-05,0.001429785839953826,True,0.07514318823814392,0.5102304220199585,0.9298379516601563,1.7066714913504464,1.9672657169707835,1.261199892258187,0.1332770735025406,0.7299999594688416
100,201,99,paraboloid,baseline,7042,0.04484888259321451,0.0005153343081474304,0.00010921081047854386,0.0004390798027242594,True,0.1840854287147522,0.9691163897514343,1.4374247028600031,2.513353245232695,2.9886426738664214,1.6608340099173329,0.19905951619148254,0.7649999856948853
100,201,99,paraboloid,K(Phat),7042,0.021399420220404863,0.0001624810556677403,9.804235014598817e-05,0.0004390798027242594,True,0.08845224976539612,0.3678237199783325,1.386754481636699,2.4680052726499495,2.96070871789471,1.2402945539009378,0.14129520952701569,0.7649999856948853
100,201,99,paraboloid,baseline,8042,0.015300117200240493,0.00022495209486805834,7.135685518733226e-05,0.002571794227581119,True,0.24164560437202454,0.46617233753204346,1.1141868591308595,2.3496405418882977,3.025907312549135,1.863523159009087,0.2233925312757492,0.7949999570846558
100,201,99,paraboloid,K(Phat),8042,0.01649545505642891,0.00017213190767506603,4.2437896354385884e-05,0.002571794227581119,True,0.11114352941513062,0.3283555507659912,1.081478271484375,2.2876926178627826,2.894048534849155,1.6728000646323513,0.21064116060733795,0.7949999570846558
100,201,99,paraboloid,baseline,9042,0.014314031461253762,0.0003120510373264551,4.0317984712601174e-05,0.001243235608238486,True,0.11381905525922775,0.23291543126106262,1.3806144714355468,2.431204040193818,2.874893991570724,1.7999101775764046,0.24437269568443298,0.7599999904632568
