time,ensemble_survival,MTE,RPD,surface,penalty,sim_mode,distance,W2,MMD
0.5,0.7400000095367432,0.89973614666913,0.4749277801204238,paraboloid,K,learned_latent,0.2,,
1.0,0.5649999976158142,1.1042512876797566,0.44200658162308737,paraboloid,K,learned_latent,0.2,2.456846313120055,0.19537048041820526
2.0,0.3449999988079071,,,paraboloid,K,learned_latent,0.2,2.160746307337336,0.22347791492938995
3.0,0.19999998807907104,,,paraboloid,K,learned_latent,0.2,3.494016059773576,0.2878572344779968
4.0,0.10499999672174454,,,paraboloid,K,learned_latent,0.2,0.6873595028665285,0.1287933737039566
5.0,0.08500000089406967,,,paraboloid,K,learned_latent,0.2,1.9991357944367192,0.3576972782611847
0.1,0.9799999594688416,0.38044878901267537,0.3078666560695375,paraboloid,K,learned_ambient,0.2,,
0.2,0.9449999928474426,0.6311758939551297,0.3816980522559387,paraboloid,K,learned_ambient,0.2,,
0.5,0.7400000095367432,0.8026619988518793,0.423686969466539,paraboloid,K,learned_ambient,0.2,,
1.0,0.5649999976158142,1.0355525058982646,0.4145080275931337,paraboloid,K,learned_ambient,0.2,6.070405202564754,0.20848408341407776
2.0,0.3449999988079071,,,paraboloid,K,learned_ambient,0.2,7.657812248202324,0.3269304633140564
3.0,0.19999998807907104,,,paraboloid,K,learned_ambient,0.2,12.240327068788478,0.38196423649787903
4.0,0.10499999672174454,,,paraboloid,K,learned_ambient,0.2,33.084685290196475,0.5906423926353455
5.0,0.08500000089406967,,,paraboloid,K,learned_ambient,0.2,86.25815768772138,0.5581467151641846
0.1,0.9799999594688416,0.853579618492905,0.6907334454040459,paraboloid,T+K,learned_latent,0.2,,
0.2,0.9449999928474426,1.0955393957713293,0.6625177823494186,paraboloid,T+K,learned_latent,0.2,,
0.5,0.7400000095367432,0.8952614036766259,0.4725657768110014,paraboloid,T+K,learned_latent,0.2,,
1.0,0.5649999976158142,1.0906144538811877,0.43654806836734766,paraboloid,T+K,learned_latent,0.2,2.4309895359300144,0.1925463229417801
2.0,0.3449999988079071,,,paraboloid,T+K,learned_latent,0.2,2.1324569913324876,0.22104422748088837
3.0,0.19999998807907104,,,paraboloid,T+K,learned_latent,0.2,3.452462079052867,0.27863001823425293
4.0,0.10499999672174454,,,paraboloid,T+K,learned_latent,0.2,0.6948642774535475,0.12955151498317719
5.0,0.08500000089406967,,,paraboloid,T+K,learned_latent,0.2,1.9808073233522665,0.3560211658477783
0.1,0.9799999594688416,0.3732401400196309,0.3020332752720139,paraboloid,T+K,learned_ambient,0.2,,
0.2,0.9449999928474426,0.6219628551018932,0.3761265483070115,paraboloid,T+K,learned_ambient,0.2,,
0.5,0.7400000095367432,0.8019725696460621,0.4233230526855126,paraboloid,T+K,learned_ambient,0.2,,
1.0,0.5649999976158142,1.0695256596117948,0.42810670545514956,paraboloid,T+K,learned_ambient,0.2,3.5534528336032336,0.2020171880722046
2.0,0.3449999988079071,,,paraboloid,T+K,learned_ambient,0.2,10.940402454997939,0.29449188709259033
3.0,0.19999998807907104,,,paraboloid,T+K,learned_ambient,0.2,14.608048823826572,0.33005157113075256
4.0,0.10499999672174454,,,paraboloid,T+K,learned_ambient,0.2,19.69930486144816,0.5685832500457764
5.0,0.08500000089406967,,,paraboloid,T+K,learned_ambient,0.2,21.55882501541307,0.5123807191848755
0.1,0.9799999594688416,0.5434050657311265,0.4397340859253342,paraboloid,T+F,learned_latent,0.2,,
0.2,0.9449999928474426,0.7652364256520751,0.4627699758246124,paraboloid,T+F,learned_latent,0.2,,
0.5,0.7400000095367432,0.6109607799633129,0.32249704320851685,paraboloid,T+F,learned_latent,0.2,,
1.0,0.5649999976158142,0.8228331709330061,0.3293613339535986,paraboloid,T+F,learned_latent,0.2,2.066550655460982,0.13485272228717804
2.0,0.3449999988079071,,,paraboloid,T+F,learned_latent,0.2,1.7514456923632045,0.15442970395088196
3.0,0.19999998807907104,,,paraboloid,T+F,learned_latent,0.2,3.0039353620540945,0.1997031569480896
