N,D,K_pairs,surface,seed,condition,E_mu,E_Sigma,drift_loss,diff_loss,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,MMD@1.0,survival@1.0,ae_loss,recon_per_dim,phase1_converged
50,201,99,paraboloid,6042,baseline,0.5249,0.5406,0.000256,0.000137,0.9364,1.8292,2.0899,1.4622,0.1286,0.73,,,
50,201,99,paraboloid,6042,K(Phat),0.3248,0.4879,0.000254,0.000123,1.1771,1.9616,2.1696,1.4243,0.1987,0.73,,,
50,201,99,paraboloid,7042,baseline,0.2599,0.6813,0.000318,0.000106,1.5358,2.5891,2.936,1.3995,0.1815,0.765,,,
50,201,99,paraboloid,7042,K(Phat),0.2044,0.5078,0.00028,9.9e-05,2.3967,3.2448,3.5054,2.2262,0.4504,0.765,,,
50,201,99,paraboloid,8042,baseline,0.7896,0.8083,0.000581,0.000174,1.2506,2.4197,3.0567,1.9041,0.242,0.795,,,
50,201,99,paraboloid,8042,K(Phat),0.8107,0.6782,0.000604,0.000153,1.3297,2.5237,3.1662,2.0805,0.2718,0.795,,,
50,201,99,paraboloid,9042,baseline,0.2891,0.1823,0.000244,4.2e-05,1.1154,2.1377,2.9168,1.9323,0.2321,0.76,,,
50,201,99,paraboloid,9042,K(Phat),0.318,0.8615,0.000228,5.2e-05,1.7427,2.4983,3.1148,2.0436,0.3443,0.76,,,
50,201,99,hyperbolic_paraboloid,42,baseline,0.2754,1.0511,0.000247,9.3e-05,0.9626,2.1217,2.6412,1.3228,0.1447,0.765,,,
50,201,99,hyperbolic_paraboloid,42,K(Phat),0.2091,0.5362,0.000211,7.2e-05,0.9414,2.1672,2.7376,1.2856,0.1242,0.765,,,
50,201,99,hyperbolic_paraboloid,1042,baseline,0.232,0.4916,0.000265,2.6e-05,1.6477,2.6542,3.165,1.4293,0.1796,0.72,,,
50,201,99,hyperbolic_paraboloid,1042,K(Phat),0.2244,0.3493,0.000291,2.3e-05,1.619,2.6233,3.1305,1.4033,0.1594,0.72,,,
50,201,99,hyperbolic_paraboloid,2042,baseline,0.3019,0.9713,0.000416,8.5e-05,1.4137,2.5055,2.969,1.5741,0.2362,0.785,,,
50,201,99,hyperbolic_paraboloid,2042,K(Phat),0.2663,0.5927,0.000405,5.8e-05,1.0625,2.3198,2.8214,1.4107,0.1351,0.785,,,
50,201,99,hyperbolic_paraboloid,3042,baseline,0.1114,0.296,0.000151,0.000111,3.1937,3.9659,4.137,3.0593,0.6495,0.745,,,
50,201,99,hyperbolic_paraboloid,3042,K(Phat),0.0955,0.2581,9.1e-05,0.0001,1.3187,2.5339,2.8423,1.4428,0.1416,0.745,,,
50,201,99,hyperbolic_paraboloid,4042,baseline,0.2271,0.2982,0.000182,2.6e-05,1.3124,2.2971,2.5778,1.7505,0.2112,0.76,,,
50,201,99,hyperbolic_paraboloid,4042,K(Phat),0.159,0.5106,0.000214,3.1e-05,1.225,2.2149,2.4534,1.5945,0.1611,0.76,,,
50,201,99,hyperbolic_paraboloid,5042,baseline,0.479,0.6341,0.000456,5.1e-05,1.3893,2.4312,3.0241,1.5398,0.196,0.765,,,
50,201,99,hyperbolic_paraboloid,5042,K(Phat),0.2894,0.7539,0.000342,3.9e-05,1.3806,2.4417,3.1217,1.7285,0.2291,0.765,,,
50,201,99,hyperbolic_paraboloid,6042,baseline,0.2357,0.7108,0.000443,0.000124,0.8388,1.4645,1.8609,1.5752,0.174,0.73,,,
50,201,99,hyperbolic_paraboloid,6042,K(Phat),0.2363,0.3737,0.000469,9.4e-05,1.0571,2.2432,2.5187,1.434,0.1365,0.73,,,
50,201,99,hyperbolic_paraboloid,7042,baseline,0.1551,0.3214,0.000644,6.8e-05,0.9954,2.034,2.6233,1.3394,0.1464,0.765,,,
50,201,99,hyperbolic_paraboloid,7042,K(Phat),0.1544,0.596,0.000665,7.3e-05,1.211,2.1474,2.6597,1.4251,0.1876,0.765,,,
50,201,99,hyperbolic_paraboloid,8042,baseline,0.515,1.7623,0.000139,0.000238,2.3327,2.9547,3.2709,2.4325,0.5292,0.795,,,
50,201,99,hyperbolic_paraboloid,8042,K(Phat),0.3068,0.5406,0.000177,0.000125,1.7376,2.4637,2.8682,1.9452,0.3844,0.795,,,
