surface,config,seed,ae_loss,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,sW2@0.5,sW2@1.0,MMD@1.0,survival@1.0,stopped@1.0,E_mu_held,drift_loss_final
quartic_dome,T+F,5042,0.06372515857219696,1.0573930358886718,2.143424577610467,2.8401371575648486,3.857181373825451,0.6233340819782816,0.9589830381032811,0.18727225065231323,0.7649999856948853,0.26499998569488525,0.31397634744644165,0.012203427962958813
quartic_dome,T+F+S,5042,0.06372515857219696,1.0764865112304687,2.1827994726037465,2.843582053589665,3.960816084398999,0.6497209307086868,0.9309032931538886,0.2345443069934845,0.7649999856948853,0.26499998569488525,0.4880186915397644,0.5717856884002686
quartic_dome,T+F,6042,0.03173932060599327,1.108716278076172,2.310994349888393,2.540766258762307,2.4090027032576438,0.6540925340196608,0.7539447004097131,0.17092807590961456,0.7299999594688416,0.3050000071525574,0.16429981589317322,0.030123746022582054
quartic_dome,T+F+S,6042,0.03173932060599327,1.1151302337646485,2.3961467633928573,2.69943738963506,2.4527592110697642,0.8106334454868996,1.1241700242186172,0.22860664129257202,0.7299999594688416,0.3050000071525574,0.3001597225666046,0.2109614461660385
quartic_dome,T+F,7042,0.011165367439389229,0.84026010791261,1.88552003265709,2.5005357530381946,3.5088825160750723,0.5605494872988842,0.7143938145012977,0.2316455841064453,0.7649999856948853,0.26999998092651367,0.10949490964412689,0.03273899108171463
quartic_dome,T+F+S,7042,0.011165367439389229,0.8447894379122174,1.9261771581506217,2.5088812136182597,3.4613312935777434,0.6143930860226655,0.8367259729065506,0.22994911670684814,0.7649999856948853,0.26999998092651367,0.21926701068878174,0.28465142846107483
quartic_dome,T+F,8042,0.02346225269138813,0.8728353118896485,1.841887778424202,2.2664771889740565,3.155150486562668,0.6135795858253531,0.7067377531116341,0.1651751548051834,0.7949999570846558,0.29999998211860657,0.1525692641735077,0.05378732085227966
quartic_dome,T+F+S,8042,0.02346225269138813,0.8795930480957032,1.9259094887591424,2.420673298385908,3.2410366815778637,0.7896099530183698,1.1475322359267717,0.1918603628873825,0.7949999570846558,0.29999998211860657,0.2962016463279724,0.33037084341049194
quartic_dome,T+F,9042,0.017942678183317184,1.242699432373047,2.0394864108393103,2.638578314530222,3.4482574566606816,0.7558047562264173,0.7339790370484025,0.13281653821468353,0.7599999904632568,0.3199999928474426,0.12713028490543365,0.05804568529129028
quartic_dome,T+F+S,9042,0.017942678183317184,1.2565255737304688,2.149165919569672,2.862513491981908,3.5266149922228336,0.9442543865826843,1.184846135646741,0.2036990374326706,0.7599999904632568,0.3199999928474426,0.17194251716136932,0.25846588611602783
