surface,D,dynamics,condition,seed,recon,tangent,E_mu,E_Sigma,sigma_min_p5,sigma_min_median,stage2_loss,stage3_loss
hyperbolic_paraboloid,11,mb,C,1042,0.002550195055929097,0.4475959539413452,1.1094344854354858,0.20388230681419373,11.550346374511719,11.59406566619873,0.5256878818784442,0.0017173167683982424
hyperbolic_paraboloid,11,mb,T+F,1042,4.392127162976645e-08,9.340279575553723e-06,2.422920078970492e-05,1.4866411675029667e-06,1.3237459659576416,1.3675193786621094,0.0004215316314782415,6.164108055730009e-08
hyperbolic_paraboloid,11,mb,ATLAS,2042,0.0004427285695617849,0.016387872397899628,0.5755383968353271,0.0006832677172496915,,,,
hyperbolic_paraboloid,11,mb,baseline,2042,2.0800034690182656e-06,0.001413249527104199,0.0025661515537649393,0.00013633158232551068,1.1325384378433228,1.1865122318267822,0.0004473624908964017,6.59418440461325e-06
hyperbolic_paraboloid,11,mb,T,2042,6.071973488856615e-07,1.2729059562843759e-05,5.850899106008001e-05,2.5889398784784134e-06,1.1314347982406616,1.1532936096191406,0.00015555934182235172,2.1463277732891584e-07
hyperbolic_paraboloid,11,mb,F,2042,2.4729064369404856e-05,0.013118809089064598,0.024121858179569244,0.0014852515887469053,1.2642896175384521,1.3495298624038696,0.00043520131189974824,4.966285346849223e-05
hyperbolic_paraboloid,11,mb,C,2042,0.002177900719371709,0.4449789524078369,1.4968676567077637,0.1844732016324997,13.413002967834473,13.497262954711914,0.5885890977723258,0.0017116274185744779
hyperbolic_paraboloid,11,mb,T+F,2042,2.1167852279094488e-08,1.1016497410309967e-05,3.3482396247563884e-05,2.042171217908617e-06,1.2769341468811035,1.3042815923690796,0.00048458526310111793,5.952584710858641e-08
hyperbolic_paraboloid,11,mb,ATLAS,3042,0.0003775900907137177,0.01585516333580017,0.6166046261787415,0.0006242161616683006,,,,
hyperbolic_paraboloid,11,mb,baseline,3042,1.1769033418121664e-05,0.00422331877052784,0.0072353295981884,0.0005288836546242237,1.0017881393432617,1.066831350326538,0.0003468106349048737,2.0946194126736373e-05
