surface,config,seed,time,MTE_sde,MTE_ode,E_mu,E_Sigma
hyperbolic_paraboloid,T+F+K,6042,0.5,1.2107280009501689,0.5567966950245392,0.035424426198005676,0.6194455027580261
hyperbolic_paraboloid,T+F+K,6042,1.0,1.3818469489972616,0.6501300209446957,,
hyperbolic_paraboloid,T+F,7042,0.1,0.8657581309981758,0.04736799240112305,0.012122662737965584,0.006433445028960705
hyperbolic_paraboloid,T+F,7042,0.2,1.1849168346774193,0.08817249298095703,0.023901700973510742,0.011555518954992294
hyperbolic_paraboloid,T+F,7042,0.5,1.6137304242873034,0.19914996685759392,0.02983018569648266,0.0109954122453928
hyperbolic_paraboloid,T+F,7042,1.0,2.017840665929458,0.3829304863424862,,
hyperbolic_paraboloid,T+F+K,7042,0.1,0.8610273641983265,0.047261228561401365,0.004047454800456762,0.0071305157616734505
hyperbolic_paraboloid,T+F+K,7042,0.2,1.2150345256621824,0.08515318870544433,0.0109827546402812,0.013337965123355389
hyperbolic_paraboloid,T+F+K,7042,0.5,1.6127403660824424,0.2091877995705118,0.007373238913714886,0.011323077604174614
hyperbolic_paraboloid,T+F+K,7042,1.0,1.9761593158428485,0.34415699236959385,,
hyperbolic_paraboloid,T+F,8042,0.1,1.098481611772017,0.06734026908874512,0.03504907339811325,0.023142214864492416
