N,D,K_pairs,surface,condition,seed,ae_loss,recon_per_dim,E_mu,E_Sigma,drift_loss,diff_loss,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,sW2@0.1,sW2@0.2,sW2@0.5,sW2@1.0,MMD@1.0,survival@1.0,stopped@1.0
20,201,99,hyperbolic_paraboloid,T+F,1042,0.0,0.00024075144484861572,0.8040658235549927,2.036442756652832,0.011166485026478767,6.488122016889974e-05,1.3087370262910634,2.062433292431459,2.243950965420512,1.1122953529599424,0.5301891154729605,0.7886736097926994,0.9077180659952869,1.231948990373422,0.23367688059806824,0.2980000078678131,0.06200000271201134
20,201,99,hyperbolic_paraboloid,no_penalty,2042,0.0,0.0001731741598886044,3.676738739013672,11.165925979614258,0.01080232672393322,0.0006092318799346685,0.7525353013423451,1.160017830984933,1.1468309674944197,0.91335914447602,0.3760500334144667,0.45965049611938824,0.6548941796055286,0.6288456542082561,0.22080789506435394,0.26600000262260437,0.04800000041723251
20,201,99,hyperbolic_paraboloid,T+F,2042,0.0,0.0003561847171380152,0.8403429985046387,1.962989330291748,0.011531664058566093,7.421954796882346e-05,0.48914471007229987,0.8873696705651661,1.0327286110784775,0.8416236885755382,0.33545724939599936,0.3996603350338956,0.6223782190689118,0.7458300565580137,0.2445094883441925,0.26600000262260437,0.04800000041723251
20,201,99,hyperbolic_paraboloid,no_penalty,3042,0.0,0.0006203640307953108,3.625141143798828,15.42429256439209,0.012512648478150368,0.0023442679084837437,0.7006375805501663,0.8747725984943446,0.9403583302217371,0.6866560309906461,0.4147497236777786,0.42387088660910316,0.4901868302420801,0.7293859377370241,0.21335990726947784,0.2720000147819519,0.05000000074505806
20,201,99,hyperbolic_paraboloid,T+F,3042,0.0,0.0011457983978945224,0.6200531721115112,1.9532232284545898,0.028087817132472992,0.00022414681734517217,1.3108322921719096,1.9305139797836988,2.0541859795065487,1.6101759075636424,0.8120556110932684,0.9784871980680132,1.5333234954986719,2.2439398555073344,0.24225394427776337,0.2720000147819519,0.05000000074505806
20,201,99,hyperbolic_paraboloid,no_penalty,4042,0.0,0.00019947040955818707,3.2140839099884033,11.776060104370117,0.01294458843767643,0.0004749093495775014,0.9655349963140591,1.3427581787109375,1.2499489209330674,0.4928670145677164,0.3843548401454294,0.5132514386491505,0.4834757292213188,0.7605562308450652,0.1755756437778473,0.28200000524520874,0.06000000238418579
20,201,99,hyperbolic_paraboloid,T+F,4042,0.0,0.0001227810459943553,0.6116273403167725,0.8714695572853088,0.017047911882400513,3.0702005460625514e-05,0.9656807657436279,1.475028760505445,1.5624801960397274,0.7915749469145501,0.4746785776572878,0.6752327826463356,0.5808155079819094,1.1211344074670195,0.2962356507778168,0.28200000524520874,0.06000000238418579
20,201,99,hyperbolic_paraboloid,no_penalty,5042,0.0,0.0005225154816807799,3.9381632804870605,27.97043800354004,0.019036605954170227,0.001453437376767397,0.9351903223729395,1.2828459229416513,1.2109784266745398,1.0687577918266806,0.4277456993334221,0.5550607597972934,0.7446843068537123,1.0407006350367811,0.3054116368293762,0.2580000162124634,0.06599999964237213
20,201,99,hyperbolic_paraboloid,T+F,5042,0.0,0.00017381237069172647,0.8713008761405945,2.404684066772461,0.013396099209785461,8.37615443742834e-05,1.114007769574176,1.726763172783095,1.5928244184153948,0.6803843601829371,0.5254037961762432,0.7031017258406654,0.6819995208326023,0.7753773658945974,0.2422627955675125,0.2580000162124634,0.06599999964237213
20,201,99,hyperbolic_paraboloid,no_penalty,6042,0.0,0.00012262678005505557,3.2098183631896973,22.420169830322266,0.023950811475515366,0.001872355118393898,0.9556758393275055,1.452268585445374,1.4268038132611442,0.8703087963235333,0.44024306210150693,0.47672557506037794,0.5165007391925094,0.6595104000167126,0.20757438242435455,0.2720000147819519,0.06000000238418579
20,201,99,hyperbolic_paraboloid,T+F,6042,0.0,0.0007588290308245379,1.013898253440857,1.793700098991394,0.00997194740921259,6.18035628576763e-05,1.068618303878717,1.7260334885965183,1.705607245950138,1.217578572736772,0.6065721363872462,0.7497639273069017,1.0462577448447858,1.0412242324925802,0.25315698981285095,0.2720000147819519,0.06000000238418579
20,201,99,hyperbolic_paraboloid,no_penalty,7042,0.0,0.00017564037620131648,3.4885966777801514,7.759734153747559,0.022976726293563843,0.0011726904194802046,0.872868206007365,1.4366251627604167,1.7474073833889432,1.042068240722959,0.44227533513599393,0.5748101964029516,0.7928146086293818,1.063453068894518,0.1238584890961647,0.2880000174045563,0.058000002056360245
20,201,99,hyperbolic_paraboloid,T+F,7042,0.0,0.00045653336231981344,0.7348387837409973,1.2153475284576416,0.21578478813171387,0.00017441266390960664,0.8719710967614263,1.400523650340545,1.654201825459798,1.6066183902013857,0.44449244189336584,0.6067347613449002,1.2147117886745658,1.522691634828941,0.17611323297023773,0.2880000174045563,0.058000002056360245
